rank,name,mark,author,publisher,year,price,url,img_url
117,人生的智慧,9.2,叔本华,上海人民,2008,28,https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg
118,海的女儿,9.1,汉斯·克里斯蒂安·安徒生,上海译文出版社,1978,0.43,https://book.douban.com/subject/1765512/,https://img9.doubanio.com/view/subject/s/public/s4133656.jpg
119,万水千山走遍,8.8,三毛,哈尔滨出版社,2003,13.8,https://book.douban.com/subject/1036490/,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg
120,不能承受的生命之轻,8.5,米兰·昆德拉,上海译文出版社,2003,23,https://book.douban.com/subject/1017143/,https://img1.doubanio.com/view/subject/s/public/s1091698.jpg
121,九州·缥缈录,8.8,江南,新世界出版社,2005,20,https://book.douban.com/subject/1321017/,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg
122,孽子,9.1,白先勇,广西师范大学出版社,2010,46,https://book.douban.com/subject/5337254/,https://img3.doubanio.com/view/subject/s/public/s6240330.jpg
123,苏菲的世界,8.8,乔斯坦·贾德,作家出版社,2007,26,https://book.douban.com/subject/2284311/,https://img3.doubanio.com/view/subject/s/public/s3042670.jpg
124,球状闪电,8.7,刘慈欣,四川科学技术出版社,2005,22,https://book.douban.com/subject/1192090/,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg
125,美的历程,9.2,李泽厚,生活·读书·新知三联书店,2009,43,https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg
126,浮生六记,8.8,沈复,人民文学出版社,1999,5.7,https://book.douban.com/subject/1088581/,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg
127,爱的艺术,8.8,艾·弗洛姆,上海译文出版社,2008,15,https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg
128,经济学原理（上下）,9.1,格里高里·曼昆,机械工业出版社,2003,88,https://book.douban.com/subject/1028842/,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg
129,國史大綱（上下）,9.3,钱穆,商務印書館,2013,76,https://book.douban.com/subject/1046492/,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg
130,野火集,8.8,龙应台,文汇出版社,2005,25,https://book.douban.com/subject/1426971/,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg
131,银河系漫游指南,8.8,道格拉斯·亚当斯,四川科学技术出版社,2005,16,https://book.douban.com/subject/1394364/,https://img3.doubanio.com/view/subject/s/public/s3696740.jpg
132,麦琪的礼物,8.6,欧·亨利,上海社会科学院出版社,2003,25,https://book.douban.com/subject/1051193/,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg
133,民主的细节,8.6,刘瑜,上海三联书店,2009,25,https://book.douban.com/subject/3813669/,https://img1.doubanio.com/view/subject/s/public/s4146437.jpg
134,我也有一个梦想,9,林达,生活·读书·新知三联书店,2004,25,https://book.douban.com/subject/1014825/,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg
135,半生缘,8.6,张爱玲,北京十月文艺出版社,2006,28,https://book.douban.com/subject/1963684/,https://img1.doubanio.com/view/subject/s/public/s2838737.jpg
136,全球通史(上),9.2,斯塔夫里阿诺斯,北京大学出版社,2006,42,https://book.douban.com/subject/1922216/,https://img2.doubanio.com/view/subject/s/public/s28330151.jpg
137,亮剑,8.9,都梁,解放军文艺出版社,2005,28,https://book.douban.com/subject/1088022/,https://img1.doubanio.com/view/subject/s/public/s9950828.jpg
138,古文观止,9.1,吴楚材,中华书局,1987,21,https://book.douban.com/subject/1014561/,https://img2.doubanio.com/view/subject/s/public/s1325863.jpg
139,面纱,8.7,威廉·萨默塞特·毛姆,重庆,2012,32,https://book.douban.com/subject/10560798/,https://img9.doubanio.com/view/subject/s/public/s9038826.jpg
140,四世同堂,9.3,老舍,北京十月文艺出版社,2008,36,https://book.douban.com/subject/3183775/,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg
141,激荡三十年,8.6,吴晓波,中信出版社,2008,32,https://book.douban.com/subject/3151575/,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg
142,你好，旧时光（上 下）,8.7,八月长安,新世界出版社,2009,39.8,https://book.douban.com/subject/4166819/,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg
143,小径分岔的花园,8.9,豪·路·博尔赫斯,上海译文出版社,2015,23,https://book.douban.com/subject/25796120/,https://img1.doubanio.com/view/subject/s/public/s29746559.jpg
144,尼罗河上的惨案,8.7,阿加莎·克里斯蒂,人民文学出版社,2006,22,https://book.douban.com/subject/1818347/,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg
